127.0.0.1, 2016-03-01 13:28:14, GET, /, HTTP/1.1, 303, 0.000547
127.0.0.1, 2016-03-01 13:28:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.828160
127.0.0.1, 2016-03-01 13:28:15, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000814
127.0.0.1, 2016-03-01 13:28:15, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000354
127.0.0.1, 2016-03-01 13:28:15, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000338
127.0.0.1, 2016-03-01 13:28:15, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000320
127.0.0.1, 2016-03-01 13:28:15, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000421
127.0.0.1, 2016-03-01 13:28:15, GET, /welcome/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000342
127.0.0.1, 2016-03-01 13:28:38, GET, /admin/default/index, HTTP/1.1, 200, 0.063164
127.0.0.1, 2016-03-01 13:28:38, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.000307
127.0.0.1, 2016-03-01 13:28:38, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.000751
127.0.0.1, 2016-03-01 13:28:38, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.000585
127.0.0.1, 2016-03-01 13:28:38, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.000316
127.0.0.1, 2016-03-01 13:28:38, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000337
127.0.0.1, 2016-03-01 13:28:38, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000346
127.0.0.1, 2016-03-01 13:28:38, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000345
127.0.0.1, 2016-03-01 13:28:38, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000361
127.0.0.1, 2016-03-01 13:28:38, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000335
127.0.0.1, 2016-03-01 13:28:38, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000385
127.0.0.1, 2016-03-01 13:28:38, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000330
127.0.0.1, 2016-03-01 13:28:40, POST, /admin/default/index, HTTP/1.1, 303, 0.046314
127.0.0.1, 2016-03-01 13:28:40, GET, /admin/default/site, HTTP/1.1, 200, 0.032506
127.0.0.1, 2016-03-01 13:28:41, POST, /admin/default/check_version, HTTP/1.1, 200, 0.517715
127.0.0.1, 2016-03-01 13:28:41, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.677507
127.0.0.1, 2016-03-01 13:28:45, GET, /Social/default/index, HTTP/1.1, 200, 0.092613
127.0.0.1, 2016-03-01 13:28:45, GET, /Social/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000309
127.0.0.1, 2016-03-01 13:28:45, GET, /Social/static/js/jquery.js, HTTP/1.1, 200, 0.000448
127.0.0.1, 2016-03-01 13:28:45, GET, /Social/static/css/calendar.css, HTTP/1.1, 200, 0.000385
127.0.0.1, 2016-03-01 13:28:45, GET, /Social/static/js/calendar.js, HTTP/1.1, 200, 0.000347
127.0.0.1, 2016-03-01 13:28:45, GET, /Social/static/js/web2py.js, HTTP/1.1, 200, 0.000343
127.0.0.1, 2016-03-01 13:28:46, GET, /Social/static/css/web2py.css, HTTP/1.1, 200, 0.000334
127.0.0.1, 2016-03-01 13:28:46, GET, /Social/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000336
127.0.0.1, 2016-03-01 13:28:46, GET, /Social/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000331
127.0.0.1, 2016-03-01 13:28:46, GET, /Social/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000328
127.0.0.1, 2016-03-01 13:28:46, GET, /Social/static/images/logo1.png, HTTP/1.1, 200, 0.000347
127.0.0.1, 2016-03-01 13:28:46, GET, /Social/static/images/reg.gif, HTTP/1.1, 200, 0.000352
127.0.0.1, 2016-03-01 13:28:46, GET, /Social/static/images/or.png, HTTP/1.1, 200, 0.000339
127.0.0.1, 2016-03-01 13:28:46, GET, /Social/static/images/login1.png, HTTP/1.1, 200, 0.000350
127.0.0.1, 2016-03-01 13:28:46, GET, /Social/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000343
127.0.0.1, 2016-03-01 13:28:46, GET, /Social/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000355
127.0.0.1, 2016-03-01 13:28:46, GET, /Social/static/js/share.js, HTTP/1.1, 200, 0.000375
127.0.0.1, 2016-03-01 13:28:46, GET, /Social/static/images/favicon.ico, HTTP/1.1, 200, 0.000365
127.0.0.1, 2016-03-01 13:28:46, GET, /Social/static/images/twitter.png, HTTP/1.1, 200, 0.000429
127.0.0.1, 2016-03-01 13:28:46, GET, /Social/static/images/facebook.png, HTTP/1.1, 200, 0.000385
127.0.0.1, 2016-03-01 13:28:46, GET, /Social/static/images/gplus-32.png, HTTP/1.1, 200, 0.000422
127.0.0.1, 2016-03-01 13:28:53, GET, /LMS/default/index, HTTP/1.1, 200, 0.084903
127.0.0.1, 2016-03-01 13:28:53, GET, /LMS/default/images/pc_item_center.gif, HTTP/1.1, 404, 0.127530
127.0.0.1, 2016-03-01 13:28:53, GET, /LMS/default/images/pc_item_left.gif, HTTP/1.1, 404, 0.148792
